id,name,region,current_type,source_file,canonical_source_candidate,generated_url,day_refs,region_refs,walk_refs,map_ref,search_ref,has_dedicated_place_page,current_content_depth,facts_status,source_status,duplicate_candidate,alias_candidate,orphan_status,archive_candidate,notes
roussillon,Roussillon 마을·점심,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 17,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,roussillon-sentier-des-ocres,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: roussillon)
saint-germain,Saint-Germain 서점·카페,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 29,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: saint-germain)
saint-paul,Saint-Paul-de-Vence,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 12,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,saint-paul-de-mausole,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: saint-paul)
saint-trophime,Cloître Saint-Trophime,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 22,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,cloitre-saint-trophime,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: saint-trophime)
sant-feliu,Sant Feliu de Guíxols 점심,day-referenced,day_stop_food,data/daily-cards/ (multiple days),data/daily-cards/,,Day 06,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: sant-feliu)
sant-pau,Recinte Modernista de Sant Pau,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 02,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,sant-pau-recinte-modernista,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: sant-pau)
saone,Saône 강변·Presqu'île 카페,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 24,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: saone)
seine-left,Seine 좌안 산책,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 29,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: seine-left)
sentier-ocres,Sentier des Ocres,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 17,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,roussillon-sentier-des-ocres,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: sentier-ocres)
st-honore,Rue Saint-Honoré,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 33,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: st-honore)
teinturiers,Teinturiers 산책,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 19,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: teinturiers)
tete-dor,Parc de la Tête d'Or,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 25,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,parc-de-la-tete-d-or,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: tete-dor)
theatre,Théâtre antique,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 22,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,theatre-antique-arles,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: theatre)
to-longchamp,ParisLongchamp 이동 — 무료 셔틀,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,Day 37,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: to-longchamp)
